time_step,building_id,charger_id,connected_ev,connected_ev_soc,action,constraint_violations
4879,4,charger_15_1,,,-0.02,['Discharge During Idle']
4880,1,charger_1_1,,,-0.02,['Discharge During Idle']
4880,2,charger_10_1,EV_3,30.735540653686822,-0.02,['Charging Power Violation']
4880,3,charger_12_1,EV_4,18.495211546941647,-0.02,['Charging Power Violation']
4880,4,charger_15_1,,,-0.02,['Discharge During Idle']
4881,1,charger_1_1,,,-0.02,['Discharge During Idle']
4881,2,charger_10_1,EV_3,30.396798860219196,-0.02,['Charging Power Violation']
4881,3,charger_12_1,EV_4,18.229911728114494,-0.02,['Charging Power Violation']
4881,4,charger_15_1,,,-0.02,['Discharge During Idle']
4882,1,charger_1_1,,,-0.02,['Discharge During Idle']
4882,2,charger_10_1,EV_3,30.060089517512377,-0.02,['Charging Power Violation']
4882,3,charger_12_1,EV_4,17.966203708200304,-0.02,['Charging Power Violation']
4882,4,charger_15_1,,,-0.02,['Discharge During Idle']
4883,1,charger_1_1,,,-0.02,['Discharge During Idle']
4883,2,charger_10_1,EV_3,29.7254004308618,-0.02,['Charging Power Violation']
4883,3,charger_12_1,,,-0.02,['Discharge During Idle']
4883,4,charger_15_1,,,-0.02,['Discharge During Idle']
4884,1,charger_1_1,,,-0.02,['Discharge During Idle']
4884,2,charger_10_1,EV_3,29.392719478731124,-0.02,['Charging Power Violation']
4884,3,charger_12_1,,,-0.02,['Discharge During Idle']
4884,4,charger_15_1,,,-0.02,['Discharge During Idle']
4885,1,charger_1_1,,,-0.02,['Discharge During Idle']
4885,2,charger_10_1,EV_3,29.062034612313234,-0.02,['Charging Power Violation']
4885,3,charger_12_1,EV_4,32.605523666316195,-0.02,['Charging Power Violation']
4885,4,charger_15_1,,,-0.02,['Discharge During Idle']
4886,1,charger_1_1,,,-0.02,['Discharge During Idle']
4886,2,charger_10_1,EV_3,28.73333385509385,-0.02,['Charging Power Violation']
4886,3,charger_12_1,EV_4,31.779377611212652,-0.02,['Charging Power Violation']
4886,4,charger_15_1,,,-0.02,['Discharge During Idle']
4887,1,charger_1_1,,,-0.02,['Discharge During Idle']
4887,2,charger_10_1,EV_3,28.406605302417784,-0.02,['Charging Power Violation']
4887,3,charger_12_1,EV_4,31.434372795999874,-0.02,['Charging Power Violation']
4887,4,charger_15_1,,,-0.02,['Discharge During Idle']
4888,1,charger_1_1,,,-0.0044,['Discharge During Idle']
4888,2,charger_10_1,EV_3,28.081837121057774,-0.0044,['Charging Power Violation']
4888,3,charger_12_1,EV_4,31.09143800967837,-0.0044,['Charging Power Violation']
4888,4,charger_15_1,,,-0.0044,['Discharge During Idle']
4889,1,charger_1_1,,,-0.0044,['Discharge During Idle']
4889,2,charger_10_1,EV_3,27.879393817431417,-0.0044,['Charging Power Violation']
4889,3,charger_12_1,EV_4,30.87093710072029,-0.0044,['Charging Power Violation']
4889,4,charger_15_1,,,-0.0044,['Discharge During Idle']
4890,1,charger_1_1,,,-0.0044,['Discharge During Idle']
4890,2,charger_10_1,EV_3,27.67816517362682,-0.0044,['Charging Power Violation']
4890,3,charger_12_1,EV_4,30.65175919721596,-0.0044,['Charging Power Violation']
4890,4,charger_15_1,,,-0.0044,['Discharge During Idle']
4891,1,charger_1_1,,,-0.024,['Discharge During Idle']
4891,2,charger_10_1,EV_3,27.478143901685048,-0.024,['Charging Power Violation']
4891,3,charger_12_1,EV_4,30.433896361132653,-0.024,['Charging Power Violation']
4891,4,charger_15_1,,,-0.024,['Discharge During Idle']
4892,1,charger_1_1,,,-0.024,['Discharge During Idle']
4892,2,charger_10_1,EV_3,27.128080778820333,-0.024,['Charging Power Violation']
4892,3,charger_12_1,EV_4,30.066098723511253,-0.024,['Charging Power Violation']
4892,4,charger_15_1,,,-0.024,['Discharge During Idle']
4893,1,charger_1_1,,,-0.024,['Discharge During Idle']
4893,2,charger_10_1,EV_3,26.780118034692805,-0.024,['Charging Power Violation']
4893,3,charger_12_1,EV_4,29.70050787171558,-0.024,['Charging Power Violation']
4893,4,charger_15_1,,,-0.024,['Discharge During Idle']
4894,1,charger_1_1,,,-0.024,['Discharge During Idle']
4894,2,charger_10_1,EV_3,26.434243067030042,-0.024,['Charging Power Violation']
4894,3,charger_12_1,EV_4,29.33711056503068,-0.024,['Charging Power Violation']
4894,4,charger_15_1,,,-0.024,['Discharge During Idle']
4895,1,charger_1_1,,,0.034,['Charging with No EV Connected']
4895,2,charger_10_1,EV_3,26.090443349173256,0.034,[]
4895,3,charger_12_1,EV_4,28.97589364218589,0.034,[]
4895,4,charger_15_1,,,0.034,['Charging with No EV Connected']
4896,1,charger_1_1,,,0.034,['Charging with No EV Connected']
4896,2,charger_10_1,EV_3,26.151658272486927,0.034,[]
4896,3,charger_12_1,EV_4,29.019795863741486,0.034,[]
4896,4,charger_15_1,,,0.034,['Charging with No EV Connected']
4897,1,charger_1_1,,,0.05532,['Charging with No EV Connected']
4897,2,charger_10_1,EV_3,26.212505906260713,0.05532,[]
4897,3,charger_12_1,EV_4,29.063434671967745,0.05532,[]
4897,4,charger_15_1,,,0.05532,['Charging with No EV Connected']
4898,1,charger_1_1,,,0.05532,['Charging with No EV Connected']
4898,2,charger_10_1,EV_3,26.409535268298725,0.05532,[]
4898,3,charger_12_1,EV_4,29.243358461411518,0.05532,[]
4898,4,charger_15_1,,,0.05532,['Charging with No EV Connected']
4899,1,charger_1_1,,,0.05532,['Charging with No EV Connected']
4899,2,charger_10_1,EV_3,26.605382454164513,0.05532,[]
4899,3,charger_12_1,EV_4,29.422202708118625,0.05532,[]
4899,4,charger_15_1,,,0.05532,['Charging with No EV Connected']
4900,1,charger_1_1,,,0.05532,['Charging with No EV Connected']
4900,2,charger_10_1,EV_3,26.800054556915107,0.05532,[]
4900,3,charger_12_1,EV_4,29.599973889345492,0.05532,[]
4900,4,charger_15_1,,,0.05532,['Charging with No EV Connected']
4901,1,charger_1_1,,,0.05532,['Charging with No EV Connected']
4901,2,charger_10_1,EV_3,26.993558627049197,0.05532,[]
4901,3,charger_12_1,EV_4,29.776678443484997,0.05532,[]
4901,4,charger_15_1,,,0.05532,['Charging with No EV Connected']
4902,1,charger_1_1,,,0.05532,['Charging with No EV Connected']
4902,2,charger_10_1,EV_3,27.185901672762483,0.05532,[]
4902,3,charger_12_1,EV_4,29.952322770299666,0.05532,[]
4902,4,charger_15_1,,,0.05532,['Charging with No EV Connected']
4903,1,charger_1_1,,,-0.02,['Discharge During Idle']
4903,2,charger_10_1,EV_3,27.37709066020149,-0.02,['Charging Power Violation']
4903,3,charger_12_1,EV_4,30.126913231153445,-0.02,['Charging Power Violation']
4903,4,charger_15_1,,,-0.02,['Discharge During Idle']
4904,1,charger_1_1,,,-0.02,['Discharge During Idle']
4904,2,charger_10_1,EV_3,27.058499566694778,-0.02,['Charging Power Violation']
4904,3,charger_12_1,EV_4,29.79182320222102,-0.02,['Charging Power Violation']
4904,4,charger_15_1,,,-0.02,['Discharge During Idle']
4905,1,charger_1_1,,,-0.02,['Discharge During Idle']
4905,2,charger_10_1,EV_3,26.741820019749106,-0.02,['Charging Power Violation']
4905,3,charger_12_1,EV_4,29.45874371346219,-0.02,['Charging Power Violation']
4905,4,charger_15_1,,,-0.02,['Discharge During Idle']
4906,1,charger_1_1,,,-0.02,['Discharge During Idle']
4906,2,charger_10_1,EV_3,26.427040550085106,-0.02,['Charging Power Violation']
4906,3,charger_12_1,EV_4,29.127662701635913,-0.02,['Charging Power Violation']
4906,4,charger_15_1,,,-0.02,['Discharge During Idle']
4907,1,charger_1_1,,,-0.02,['Discharge During Idle']
4907,2,charger_10_1,EV_3,26.11414975723909,-0.02,['Charging Power Violation']
4907,3,charger_12_1,,,-0.02,['Discharge During Idle']
4907,4,charger_15_1,,,-0.02,['Discharge During Idle']
4908,1,charger_1_1,,,-0.02,['Discharge During Idle']
4908,2,charger_10_1,EV_3,25.80313630915015,-0.02,['Charging Power Violation']
4908,3,charger_12_1,,,-0.02,['Discharge During Idle']
4908,4,charger_15_1,,,-0.02,['Discharge During Idle']
4909,1,charger_1_1,,,-0.02,['Discharge During Idle']
4909,2,charger_10_1,,,-0.02,['Discharge During Idle']
4909,3,charger_12_1,EV_4,22.237833485831388,-0.02,['Charging Power Violation']
4909,4,charger_15_1,,,-0.02,['Discharge During Idle']
4910,1,charger_1_1,,,-0.02,['Discharge During Idle']
4910,2,charger_10_1,,,-0.02,['Discharge During Idle']
4910,3,charger_12_1,EV_4,29.268285539509634,-0.02,['Charging Power Violation']
4910,4,charger_15_1,,,-0.02,['Discharge During Idle']
4911,1,charger_1_1,,,-0.02,['Discharge During Idle']
4911,2,charger_10_1,,,-0.02,['Discharge During Idle']
4911,3,charger_12_1,EV_4,28.93834727672707,-0.02,['Charging Power Violation']
4911,4,charger_15_1,,,-0.02,['Discharge During Idle']
4912,1,charger_1_1,,,-0.0044,['Discharge During Idle']
4912,2,charger_10_1,,,-0.0044,['Discharge During Idle']
4912,3,charger_12_1,EV_4,28.610388643521205,-0.0044,['Charging Power Violation']
4912,4,charger_15_1,,,-0.0044,['Discharge During Idle']
4913,1,charger_1_1,,,-0.0044,['Discharge During Idle']
4913,2,charger_10_1,,,-0.0044,['Discharge During Idle']
4913,3,charger_12_1,EV_4,28.404774030760066,-0.0044,['Charging Power Violation']
4913,4,charger_15_1,,,-0.0044,['Discharge During Idle']
4914,1,charger_1_1,,,-0.0044,['Discharge During Idle']
4914,2,charger_10_1,EV_3,17.76489394770098,-0.0044,['Charging Power Violation']
4914,3,charger_12_1,EV_4,28.200393105675495,-0.0044,['Charging Power Violation']
4914,4,charger_15_1,,,-0.0044,['Discharge During Idle']
4915,1,charger_1_1,,,-0.024,['Discharge During Idle']
4915,2,charger_10_1,EV_3,50.51308650380808,-0.024,['Charging Power Violation']
4915,3,charger_12_1,EV_4,27.997238466141432,-0.024,['Charging Power Violation']
4915,4,charger_15_1,,,-0.024,['Discharge During Idle']
4916,1,charger_1_1,,,-0.024,['Discharge During Idle']
4916,2,charger_10_1,EV_3,50.02481372533063,-0.024,['Charging Power Violation']
4916,3,charger_12_1,EV_4,27.64406077588998,-0.024,['Charging Power Violation']
4916,4,charger_15_1,,,-0.024,['Discharge During Idle']
4917,1,charger_1_1,,,-0.024,['Discharge During Idle']
4917,2,charger_10_1,EV_3,49.53947058352404,-0.024,['Charging Power Violation']
4917,3,charger_12_1,EV_4,27.293002151780033,-0.024,['Charging Power Violation']
4917,4,charger_15_1,,,-0.024,['Discharge During Idle']
4918,1,charger_1_1,,,-0.024,['Discharge During Idle']
4918,2,charger_10_1,EV_3,49.057039500568294,-0.024,['Charging Power Violation']
4918,3,charger_12_1,EV_4,26.94404987941475,-0.024,['Charging Power Violation']
4918,4,charger_15_1,,,-0.024,['Discharge During Idle']
4919,1,charger_1_1,,,0.034,['Charging with No EV Connected']
